Word,Similarity
deforestasi,0.6399555802345276
kontaminasi,0.6374894380569458
penggundulan,0.6951282620429993
penyusutan,0.6828290820121765
erosi,0.672062337398529
kekeringan,0.6589246392250061
sedimentasi,0.6470177173614502
kelangkaan,0.6399555802345276
eutrofikasi,0.6394180059432983
perambahan,0.633312463760376
guncangan,0.6973152756690979
kepanikan,0.64125657081604
kekeringan,0.639862596988678
kelumpuhan,0.6357588171958923
erosi,0.7363053560256958
pelapukan,0.7043368816375732
abrasi,0.6927334666252136
pendangkalan,0.6823076009750366
sedimentasi,0.6773353815078735
pengendapan,0.6755321025848389
salinisasi,0.653434693813324
rusaknya,0.6392565369606018
kekeringan,0.6341558694839478
erosi,0.8388288617134094
pengendapan,0.7906566858291626
pendangkalan,0.7876825332641602
pelapukan,0.7617523074150085
abrasi,0.7131323218345642
penguapan,0.7059094309806824
eutrofikasi,0.7056780457496643
sedimen,0.6808743476867676
pengikisan,0.6773354411125183
penyusutan,0.66900634765625
erosi,0.8059391379356384
pendangkalan,0.7161354422569275
sedimentasi,0.7131323218345642
pengikisan,0.6927334666252136
pengendapan,0.641020655632019
pelapukan,0.6363174319267273
penipisan,0.6329870820045471
kekeringan,0.6295348405838013
longsor,0.6445528268814087
epidemi,0.8332653641700745
kolera,0.7676751613616943
pandemi,0.7123740911483765
kelaparan,0.7044284343719482
epidemik,0.6867286562919617
malaria,0.6412423253059387
pandemik,0.6397526264190674
penyakit,0.6352708339691162
